"","x"
"1545",0.842
"1546",0.843
"1547",0.8545725
"1548",0.855
"1549",0.843
"1550",0.863568
"1551",0.846
"1552",0.865
"1553",0.857571
"1554",0.889
"1555",0.855572
"1556",0.851574
"1557",0.873563
"1558",0.863568
"1559",0.879
"1560",0.865
"1561",0.875
"1562",0.858
"1563",0.858
"1564",0.872
"1565",0.868
"1566",0.865
"1567",0.857571
"1568",0.853573
"1569",0.8505745
"1570",0.8725635
"1571",0.881559
"1572",0.859
"1573",0.8525735
"1574",0.8865565
"1575",0.865
"1576",0.881
"1577",0.873
"1578",0.863
"1579",0.857
"1580",0.868
"1581",0.858
"1582",0.846
"1583",0.861
"1584",0.857571
"1585",0.87
"1586",0.845
"1587",0.846
"1588",0.854
"1589",0.864
"1590",0.844
"1591",0.879
"1592",0.872
"1593",0.856
"1594",0.844
"1595",0.855
"1596",0.862
"1597",0.844
"1598",0.87
"1599",0.8505745
"1600",0.837581
"1601",0.8645675
"1602",0.847576
"1603",0.851574
"1604",0.855
"1605",0.864
"1606",0.845
"1607",0.868
"1608",0.873
"1609",0.873
"1610",0.87
"1611",0.862
"1612",0.87
"1613",0.855
"1614",0.848
"1615",0.868
"1616",0.872
"1617",0.863
"1618",0.857
"1619",0.865
"1620",0.874
"1621",0.862
"1622",0.855
"1623",0.872
"1624",0.869
"1625",0.889
"1626",0.877
"1627",0.862
"1628",0.872
"1629",0.858
"1630",0.882
"1631",0.877
"1632",0.851
"1633",0.854
"1634",0.863
"1635",0.849
"1636",0.853
"1637",0.86
"1638",0.85
"1639",0.862
"1640",0.873
"1641",0.865
"1642",0.854
"1643",0.849
"1644",0.87
"1645",0.838
"1646",0.87
"1647",0.853
"1648",0.862
"1649",0.857
"1650",0.87
"1651",0.835
"1652",0.851
"1653",0.852
"1654",0.877
"1655",0.849
"1656",0.854
"1657",0.863
"1658",0.852
"1659",0.86
"1660",0.868
"1661",0.845
"1662",0.868
"1663",0.843
"1664",0.856
"1665",0.866
"1666",0.876
"1667",0.876
"1668",0.867
"1669",0.88
"1670",0.85
"1671",0.873
"1672",0.859
"1673",0.867
"1674",0.852
"1675",0.87
"1676",0.862
"1677",0.878
"1678",0.864
"1679",0.874
"1680",0.859
"1681",0.848
"1682",0.849
"1683",0.841
"1684",0.854
"1685",0.854
"1686",0.863
"1687",0.883
"1688",0.86
"1689",0.869
"1690",0.866
"1691",0.856
"1692",0.869
"1693",0.874
"1694",0.856
"1695",0.86
"1696",0.843
"1697",0.865
"1698",0.868
"1699",0.848
"1700",0.862
"1701",0.876
"1702",0.861
"1703",0.875
"1704",0.864
"1705",0.871
"1706",0.847
"1707",0.871
"1708",0.856
"1709",0.841
"1710",0.865
"1711",0.857
"1712",0.866
"1713",0.876
"1714",0.869
"1715",0.87
"1716",0.877
"1717",0.8485755
"1718",0.865567
"1719",0.859
"1720",0.855
"1721",0.872
"1722",0.863
"1723",0.844
"1724",0.856
"1725",0.842
"1726",0.869
"1727",0.876
"1728",0.847
"1729",0.868
"1730",0.862
"1731",0.861
"1732",0.865
"1733",0.861
"1734",0.871
"1735",0.882
"1736",0.8345825
"1737",0.8485755
"1738",0.8465765
"1739",0.85957
"1740",0.8725635
"1741",0.8525735
"1742",0.861569
"1743",0.865
"1744",0.872
"1745",0.851
"1746",0.875
"1747",0.863
"1748",0.869
"1749",0.854
"1750",0.88
"1751",0.858
"1752",0.858
"1753",0.86
"1754",0.863
"1755",0.883
"1756",0.871
"1757",0.871
"1758",0.869
"1759",0.863
"1760",0.85
"1761",0.845
"1762",0.844
"1763",0.856
"1764",0.879
"1765",0.877
"1766",0.869
"1767",0.858
"1768",0.849
"1769",0.858
"1770",0.871
"1771",0.871
"1772",0.849
"1773",0.865
"1774",0.815
"1775",0.52
"1776",0.852
"1777",0.852
"1778",0.856
"1779",0.872
"1780",0.892
"1781",0.886
"1782",0.8805595
"1783",0.869565
"1784",0.8585705
"1785",0.8625685
"1786",0.855572
"1787",0.8585705
"1788",0.86
"1789",0.879
